9008	Zerstörtes Feldlager
9009	Galerie des Schicksals
9010	Bastionswald
9011	Außenposten der Reliquienjäger
9012	Vexatussumpf
9013	Eingang zum Aufstieg von Saravash
9034	Spitze der Furcht (schwierig)
9044	Bahaars Tempel
9054	Eingang zu den Untiefen von Bathysmal
9056	Valonas Raumzeit (schwierig)
9057	Archerons Inferno (schwierig)
9059	Verlassene Insel
9060	Kalivans Kriegsgaleere (schwierig)
9066	Demoroths Roulette
9067	Vernos Laboratorium (schwierig)
9068	Durions Bluttempel (schwierig)
9069	Raqnanfestung
9070	Mogelplateau
9503	Kommandanten Residenz
9505	Velika-Banketthalle (schwierig)
9506	Velika-Banketthalle
9507	Unbekannter Raum
9508	Innenwelt
9509	Friedliche Velika-Banketthalle
9618	Event-Arena (Velika)
9681	Veliks Traum
9710	Lakans Gefängnis (schwierig)
9720	Antaros-Abgrund
9735	RK-9 Hangar
9739	Revolutionärslager
9756	Valonas Raumzeit
9759	Verlassene Insel (schwierig)
9760	Kalivans Kriegsgaleere
9767	Vernos Laboratorium
9768	Durions Bluttempel
9769	Lilitasfestung (leicht)
9770	Lachelitas-Ruine (leicht)
9780	Velika-Untergrundtor
9781	Veliks Zuflucht
9782	Lians Untergrundhalle
9783	Tenebrisfestung
9794	Syruks Forschungsstation
9810	Eingang zu Lakans Gefängnis
9830	Thron des Himmels
9833	Würmlingsklamm
9860	Kalivans Kriegsgaleere (leicht)
9920	Antaros-Abgrund (schwierig)
9935	RK-9 Hangar (schwierig)
9939	Furchteinflößendes Revolutionärslager
9950	Zerstörter Zugang zum Himmelreich der Götter
9969	Lilitasfestung (schwierig)
9970	Lachelitas-Ruine (schwierig)
9980	Eingestürztes Velika-Untergrundtor
9981	Eingestürzte Zuflucht
9982	Lians Untergrundhalle (schwierig)
9983	Tenebrisfestung (schwierig)
9994	Syruks Forschungsstation (schwierig)
9999	TERA Instanzumgebung
10001	Schlangeninsel
10002	Strand der Boas
10003	Strand der Drachenschildkröten
10004	Insel Kerozen
10005	Dschungel von Adderkin
10006	Dagons Grab
10007	Der Brückenkopf
10008	Küstenausblick
10009	Vipernlager
10010	Taverne am Weststrand
10011	Wahmels Wassermelonenarena
10012	Cheltons Spritzkanonenarena
10013	Zaiths Spritzkanonenarena
10014	Hornwerkstatt von Dolme
10015	Taverne am Oststrand
10016	Strandparty
10017	Hallen von Nakatam
10018	Grubers Versteck
11001	Zerklüftete Küste
11002	Dschungelpfad
11003	Lager der Dschungelpatrouille
11004	Versunkene Höfe
11005	Piratengrotte
11006	Piergrenze
11007	Dunkler Ankerplatz
11008	Hütte des Piratenkapitäns
11009	Vorbastion
11010	Offiziersmesse
11011	Schlafplatz des Bootsmanns
11012	Schlafplatz der Freibeuter
11013	Rast der Bändiger
11014	Die Planken
11015	Salzwindaußenposten
11016	Frachtraum
11017	Lager
11018	Angelgebiet
12001	Nebelmoorinsel
12002	Halsabschneiderstrand
12003	Regenkäfige
12004	Nebelmoorwald
12005	Wüste Küste
12006	Trostlose Küste
12007	Verschleierte Route
12008	Sandbankstrand
12009	Zugang zum {@Rgn:9024001}
12012	Verteidigerbasislager
12013	Verteidigeraußenposten
13001	Insel der Dämmerung
13002	Pegasusplattform
13003	Mysteriöse Ruinen
13004	Verdorbener Schlund
13005	Nördlicher Kontrollpunkt
13006	Schrein des Dämonengottes
13007	Matharspitze
13008	Feldlager der Orkaner
13009	Brücke über den Verdorbenen Schlund
13010	Östlicher Ausblick
13011	Karaschas Unterschlupf
13012	Mysteriöser Tempel
13013	Luftschifflandebahn
13014	Brücke über den Verdorbenen Schlund
13015	Verlassenes Lager
13016	Brücke der Dämmerung
13017	Dularis Lager
13018	Nördlicher Ausblick
13019	Westliche Insel der Dämmerung
13020	Südlicher Kontrollpunkt
13021	Östliche Insel der Dämmerung
13022	Garnison des Verdorbenen Schlundes
13023	Südliche Insel der Dämmerung
13024	Yurianschrein
13025	Befleckter Fels
13026	Nördlicher Verdorbener Schlund
13027	Außenposten des Verdorbenen Schlundes
13028	Höhen von Arun
13029	Maul des Verdorbenen Schlunds
13030	Zeitlose Wälder
13031	Nördliche Anlegestelle
13032	Nördlicher Ausblick
13033	Zentraler Ausblick
13034	Südlicher Ausblick
13035	Zerstörter Tempelplatz
14001	Neulande
15001	Klippen des Wahnsinns
15002	Land der Raserei
15003	Heulender Hügel
15004	Südliches Ackerland
15005	Ordnarath
15006	Lager der Wachsamkeit
15007	Lager der Buße
15008	Wut-Magiestein
15009	Lager der Erlösung
15201	Anlegestelle
15202	Nordtor
15203	Westtor
15204	Ruine
15205	Gidd-Gebirge
15206	Farm
16001	Reißertal
16002	Verdrehte Ebenen
16003	Verlassene Felder
16006	Anwesen der Arglist
16007	Aletheas letzte Hoffnung
16008	Runikarforschungslager
16009	Primelpfad
16010	Dienstboteneingang des Anwesens
17001	Paraanonschlucht
17002	Ebene von Paraanon
17003	Fanatikerparadies
17004	Altar des Glaubens
17006	Umkämpfter Außenposten
17007	Düsterer Außenposten
18001	Kolossale Ruinen
18002	Mags Kuchanaru
18003	Mags Kurata
18004	Tithustempel
18005	Platz der Mächtigen
18006	Arena der Erhabenen
18007	Lager von Marrakeen
18008	Sietch Bidaum
19001	Freilande
19002	Düstere Felder
19003	Digorys Gehöft
19004	Leins Farm
19005	Veliks Nachtwache
19006	Knechtfeld
19007	Zerstörter Weiler
19008	Landsitz von Lees Ende
19009	Lees Ende
19010	Filtons Meierei
19011	Lager der Freien Bruderschaft
19012	Festplatz des Farmerfestivals
19013	Bamarama
19014	Leins Farm
19015	Allgemeinpferch
19016	Schweinepferch
19017	Schaffarm
19018	Himmelsteich
19019	Kessel am Festplatz
19020	Ofen und Bratpfanne am Festplatz
19021	Feuergrube am Festplatz
19022	Salatbar am Festplatz
19023	Umgebung von Bamarama
19101	Arx Umbra
19102	Inferuszugang
19103	Domaraußenposten
19104	Eisiges Tal
19105	Kriegsgebiet
19106	Parthianeraußenposten Alpha
19107	Parthianeraußenposten Beta
19108	Delviasfront
19109	Raqnanfestung
19110	Mingorklippen
19111	Mingorklippen
19112	Sturmaußenposten
19113	Eingang der Raqnanfestung
19114	Kriegsgebiet-Teleportplattform - Delviasfront
19115	Kriegsgebiet-Teleportplattform - Eingang der Raqnanfestung
19116	Teleportplattform der Raqnanfestung - Südtor
19117	Westliche Teleportplattform
19118	Nördliche Teleportplattform
19119	1. Ebene der Raqnanfestung
19120	Luftschiffplattform
19121	Herz der Festung
19122	Parthianeraußenposten
19123	Burghof
19124	Südtor
20001	Finstere Minen
20002	Hallen der Finsternis
20003	Hallen des Schattens
20004	Hallen von Immerschwarz
20005	Die Grube
20006	Ausblick des Vorarbeiters
20007	Reliquienstation
20008	Immerschwarzaußenposten
21001	Basiliskenhang
21002	Ubarioase
21003	Gesprengtes Tal
21004	Endloser Sand
21005	Altminenpfad
21006	Heulendes Tal
21007	Tal der Gräber
21008	Wüstenausblick
21009	Ödlandaußenposten
21010	Wüstenforschungsstation
21011	Steinsäulenrelikte
21012	Mags Tohopka
22001	Eldritchakademie
22002	Eldritchakademie
22003	Hallen des Wissens
22004	Hallen der Kraft
22005	Teuflisches Labor
22006	Katakomben der Hexenkönigin
22007	Serenas Park
22008	Eldritchbastion
22009	Professorenwall
22010	Athenaeum
22011	Galerie
22012	Okkulte Bibliothek
22013	Forschungsbibliothek
22014	Thaumaturgenkammer
22015	Große Halle
22016	Arkanes Heiligtum
22017	Chirurgenlabor
22018	Halle von Vadoma
23001	See der Tränen
23002	Pegasusplattform von Pora Elinu
23004	Elins Hain
23005	Gesegnete Wälder
23006	Blutklauenlager
23007	Pass des Wahnsinnigen Narren
23008	Lager der Valkyon-Föderation
23009	Notlager
23010	Geisteraußenposten
23011	Verbanntenhütte
23012	Basislager der Koboldspäher
24001	Aurumpfad
24002	Plündererwüste
24003	Nördlicher Aurumpfad
24004	Südlicher Aurumpfad
24005	Sandsturmdorf
24006	Loks Festung
24007	Ruinen von Storst
24008	Westlicher Wachposten
24009	Zuflucht der Sandläufer
24010	Flutaußenposten
24011	Die Zertrümmerte Stadt
24012	Kreuzfahrerlager
24013	Kathedralenwall
24014	Unterirdischer Fluss
25001	Kathedralengang
25002	Düstere Kathedrale
25003	Querschiffe
25004	Verteidigerwall
25005	Gruft der Folianten
25006	Altar der Blutperle
25007	Düstere Kathedrale
25008	Große Kapelle
25009	Stadion der Auferstehung
25010	Kapitelhaus
25011	Stadion der Opferung
25012	Das Portal
25013	Halle der Hingabe
26001	Heiliges Becken
26002	Weißhirschpfad
26003	Himmelsrast
26004	Ätherischer Wald
26005	Brunnen von Shara
26006	Kreuzungslager
26007	Sitz der Suchenden
27001	Essenischer Kamm
27002	Shakazens Zuflucht
27003	Tal der Gelassenheit
27004	Festung des Blutes
27005	Stummhügel
27006	Castra Mysterium
27007	Befreiungslager
27008	Farm der Zuflucht
27009	Verteidigungsposten 1
27010	Verteidigungsposten 2
27011	Verteidigungsposten 3
27012	Verteidigungsposten 4
27016	Schmetterlingsplatz
28001	Schandholz
28002	Shakans Rache
28003	Herathpfad
28004	Verdrehtes Tal
28009	Zakailager
28010	Außenposten von Garbi
29001	Zeitlose Wälder
29002	Wälder des Pfeifenden Windes
29003	Herz des Waldes
29004	Sternbaumwald
29005	Waldschreiterpunkt
29006	Außenposten von Dorana
30001	Balders Zuflucht
30002	Hochtal
30003	Halle der Seren
30004	Halle des Waldes
30005	Serens Garten
30006	Lichtung der leuchtenden Blätter
30007	Balders Pavillon
30008	Unterarchiv
30009	Tempeltrümmer
30010	Lager des Sonnenlichts
30011	Lager der Weisheit
30012	Lager der Neugierde
30013	Archivgelände
30014	Serens See
30015	Archivfestung
30016	Festungslager
30017	Loks Speer
30018	Arkaibrutplatz
30019	Eingang zu Balders Tempel
30020	Eingang zum Leuchtturm der Sonne
30021	Baum der Weisheit
30022	Magiestein-Installationsort
31000	Lakans Gefängnis
31001	Sturmebene
31002	Eisige Ödnis
31003	Todesfrostebene
31004	See der Frostklauen
31005	Eisreißerbucht
31006	Der Mahlstrom
31007	Gletscherbucht
31008	Forschungsstation in der Gletscherbucht
31009	Leuchtfeuergarnison
31010	Wrack der Batia
32001	Berg Tyrannas
32002	Fürchterlicher Pass
32003	Lager der Winterwölfe
32004	Düstere Tundra
32005	Söldnerlager der Blutklinge
32006	Eisige Nachtwache
32007	Tyrannenausblick
32008	Festung der Hartnäckigen
32009	Kühne Palisade
32010	Knochenacker von Acarum
33001	Zitadelle der Folter
33002	Pfad der Folter
33003	Östliche Versorgungsroute
33004	Vorzimmer
33005	Halle der Jungfern
33006	Halle der Meister
33007	Unterkunft der Narren
33008	Schwindelweiten
33009	Empore der Angst
33010	Kreischende Katakomben
33011	Katakomben des Elends
33012	Gefängnis der Entstellung
33013	Blutige Tiefen
33014	Düsterwinkelwachposten
33015	Zuflucht der Eindringlinge
33016	Zuflucht der Hoffnung
33017	Trümmerpfad
33018	Blutige Tiefen
34001	Frostweiten
34002	Eispfad
34003	Heulender Gletscher
34004	Schreiendes Schneefeld
34005	Angelstelle am Celsiansee
34006	Schrein von Azurice
34007	Eislager der Pirschjäger
34008	Wandererlager
34009	Lager der Junaidar
35001	Würmlingsklamm
35002	Schrein von Zaeltarazad
35003	Todesklamm
35004	Croskurnminen
35005	Zugang von Croskurn
35006	Zerklüfteter Kamm
35007	Feuergrataußenposten
36001	Tor Exsul
36002	Sengendes Tal
36003	Schurkennest
36004	Oase der Regenbäume
36005	Bluttal
36006	Ebenholzkontrollpunkt
36007	Manafeueraußenposten
36008	Läufers Wacht
36009	Portal zum Siegel von Adstringo
37001	Krypta der Verlassenen
37002	Krypta der Verlorenen
37003	Krypta der Verdammten
37004	Forschungsstation der Phalanx
37005	Korpusforschungslager
37006	Unterirdisches Kontrolllager
37007	Salerons Forschungslager
37008	Brücke des Schmerzes
37009	Ebenholzsteg
37010	Einfallzone
37011	Krypta des Untergangs
38001	Siennaschlucht
38002	Eingang zur Wutarena
38004	Feldrinschlucht
38005	Feuerfeld
38006	Donnerhalt
38007	Ruheklippenquartier
38008	Außenposten am Kraterblick
38009	Wyvernwachposten
38010	Zugang zur Krypta des Untergangs
38011	Stachelschwanzstrom
38012	Quarantänestation
39001	Arachnaea
39002	Arachnaea - Haupthöhle
39003	Das Nest
39004	Raubeinaußenposten
39005	Lager der Vergeltung
39006	Die Brutstätte
39007	Zuflucht
39008	Unterschlupf der Kaligo-Sekte
39009	Altar der Auferstehung
39010	Lager der Kaligo-Sekte
39011	Kokongräber
40001	Quarantänezone
40002	Quarantänedorf
40003	Verseuchtes Dorf
40004	Vergessene Minen
40005	Besudeltes Tal
40008	Quarantäneaußenposten
40009	Forschungszentrum der Quarantänezone
40010	Arachnaeahöhlen
40011	Arachnes Fluch
41001	Wildes Tal
41002	Gesandtenpunkt
41003	Station des Wilden Tals
41004	Nördliches Wildes Tal
41005	Äußerer Außenposten
41006	Arena des Blutes
41007	Südliches Wildes Tal
41008	Paxomnia
42001	Tempel von Dagon
42002	Flure des Verderbens
42003	Tiefen des Verderbens
42004	Kammer der Habgier
42005	Kammer der Bosheit
42006	Kammer der Verlorenen Seelen
42007	Kapitelhaus des Tempels
42008	Das Sanctum
42009	Kammer der Erhabenen
42010	Kammer der Erleuchtung
42011	Atrium von Ecdysi
42012	Lager der Gehässigkeit
42013	Windende Querschiffe
42014	Kammer der mächtigen Seelen
43001	Cathuulrach
44001	Zugang zum Ebonmaul
44002	Ebonmaul
44003	Ebonmaul zweite Ebene
44004	Ebonmaul dritte Ebene
44005	Ebonmaul vierte Ebene
45001	Knechtfeste
45002	Zugang zum Turm
45003	Tal des Todes
45004	Aussichtspunkt
45005	Himmelsfelder
45006	Feldlager der Gegenseitigkeit
45007	Feldlager der Beharrlichkeit
45008	Feldlager der Tapferkeit
45009	Lager des Wahnsinns
45010	Wachposten der Tapferkeit
45011	Sumpfwachtlager
45012	Eingang zur verfallenen Argonenfestung
45013	Khanovarposten
46001	Drei Türme
46002	Raga Evala
46003	Raga Shadi
46004	Raga Kabash
46005	Tiefen der drei Türme
46006	Tiefen von Raga Shadi
46007	Tiefen von Raga Evala
46008	Tiefen von Raga Kabash
46009	Turmspitzen der drei Türme
46010	Spitze von Raga Evala
46011	Spitze von Raga Shadi
46012	Spitze von Raga Kabash
46013	Exetron
46014	Forschungslager Drei Türme
46015	Fluchherzkammer
46016	Verstandskronenkammer
46017	Schattenfunkenkammer
46018	Turmspitzen der drei Türme
46019	Kammer des Bestiengrollens
46020	Kammer der Schimmerwurzeln
46021	Zankkernkammer
46022	Metasamenkammer
46023	Windeblutkammer
46024	Seelenflutkammer
46025	Ragaübertragungskammer
47001	Unterholz von Tirkai
47002	Weißfrostwald
47003	Brückenkopf
47004	Pesthauch
47005	Argonengrenzgebiet
47006	Feldlager des Irrsinns
47007	Forschungsstation Pesthauch
47008	Ostwache
47009	Vorläufiges Patrouillenlager
47010	Energiegitter der Argonen
47011	Sporenemissionsbereich
47012	Schildemitter des Argonenschilds
47013	Altes Späherlager
47014	Argonenwrack
47015	Feld der steinernen Pilze
47017	Teich des Verderbens
48001	Khanovarfront
48002	Zitadelle von Khanovar
48003	Höhle der Gefahren
48004	Gießerei für Cyanokanonen
48005	Festung von Valgurati
48006	Blutbadtal
48007	Argonenbollwerk
48008	Krater von Magthulk
48009	Cyasmawandler
48010	Katakombenhöhle
49001	Argonea
49002	Ilitierimanaextraktor
49003	Agnurokmaschine
49004	Melgatolportal
49005	Casianbaum
49090	Südliche Teleportplattform
49091	Nördliche Teleportplattform
49092	Östliche Teleportplattform
50001	Granarkus
50002	Schleieraußenposten
50003	Helkirgrotte
50004	Kargonen-Nest
50005	Noyulextraktor
50006	Anlage von Sorgalur
50007	Kargonen-Stalaktit
50008	Viridianhöhlen
50009	Eingang zum Unterschlupf der Königin
50090	Teleportplattform von Granarkus
51001	Tal der Spitzen
51002	Ebenholzturm
51003	Schrei des Wendigo
51004	Raseri Festning
51005	Frostklauenklippe
51006	Eislager der Hartnäckigkeit
52001	Ebene der Verdammten
52002	Verbranntes Schneefeld
52003	Krypta aus Schnee und Asche
52004	Scheiterhaufen des Verräters
52005	Göttlicher Brennofen
52006	Feuerstellung der Verwegenheit
52007	Grabwacht der Verbannten
52008	Zugang zum Brennofen
52009	Zentrales Kommandozentrum
52010	Brücke des Kummers
52011	Abgelegene Hütte
52012	Eingang zu Muhraks Werkstätte
53001	Labyrinth des Schreckens
53002	Shriekaalhalle
53003	Tragieronhalle
53004	Agonalhalle
53006	Halle der Albträume
53007	Halle der Schreie
53008	Kriegarhalle
53009	Anarxishalle
54001	Feendickicht
54002	Tiefklangdickicht
54003	Die Laube
54004	Feenwiege
54005	Feental
54006	Wachposten des Großen Tors
54007	Lager der Fruchtbarkeit
54008	Außenposten von Arcanum
55001	Finsterwald
55002	Tal der Einsamkeit
55003	Garten der Wandelnden Schatten
55004	Platz der Gefallenen
55005	Die Himmelsblätter
55006	Finstergarnison
55007	Ceravinpunkt
55008	Arastes Nachtwache
55009	Platz der Gefallenen
55010	Stab von Isren
55011	Außenposten von Valumnir
55012	Dunkeltal
56001	Susurrus Hain
56002	Dakonankreuzung
56003	Nachtwald
56004	Rabenaltar
56005	Dakonanausblick
56006	Schwarzquelllager
56007	Umbralager
57001	Amena Quatla
57002	Innenhof von Amena Quatla
57003	Die Barbakane
57004	Die Brutstätte
57005	Purpurhammerlager
57006	Lager an der Zerstörten Brücke
57007	Sperberwachposten
57008	Tempel von Sikander
57009	Altar der Auferstehung
58001	Balderon
59001	Crescentia
59002	Platz von Crescentia
59003	Pegasusplattform von Crescentia
60001	Holzhausen
60002	Holzhausenplatz
60003	Holzhof
60004	Pegasusplattform von Holzhausen
61001	Castanica
61002	Vergnügungsstraße
61003	Basar der Bredouillen
61004	Gedenkplatz
61005	Meisterplatz
61006	Verlangensplatz
61007	Vergnügungsstraße
61008	Straße des Zwielichts
61009	Straße der Beharrlichkeit
62001	Halsabschneiderhafen
62002	Pegasusplattform des Halsabschneiderhafens
62003	Wachpostenkommando
63001	Velika
63002	Reisezentrale von Velika
63003	Kreativwerkstatt
63004	Nordtormarkt
63005	Nordtor von Velika
63006	Magieakademie
63007	Veliks Treppe
63008	Platz der Freiheit
63009	Hauptquartier der Valkyon-Föderation
63010	Platz der Jägerin
63011	Kriegernoviziat
63012	Vanarchenamt von Velika
63013	Westtor von Velika
63014	Strategisches Kommando
63015	Notusgasse
63016	Boreasgasse
63017	Velika-Konsulat
63023	Umland von Velika
63024	Ringplatz
63025	Teleportal der Stadt
63026	Luftschiffplattform
63027	Eingang zur Event-Arena (Velika)
63028	Event-Arena (Velika)
64001	Turmbasis
64002	Kommandoposten der Forscher
64003	Lians Außenposten
64004	Turmbasis
64005	Expeditionshauptlager
64006	Östlicher Ausblick
64007	Forscherquartier
64008	Mysteriöser Tempel
64009	Säule der Wunder
65001	Chebika
65002	Pegasusplattform von Chebika
66001	Tulufan
66002	Pegasusplattform von Tulufan
67001	Popolion
67002	Pegasusplattform von Popolion
68001	Pora Elinu
69001	Tralion
69002	Pegasusplattform von Tralion
70001	Tria
70002	Pegasusplattform von Tria
70003	Triaplatz
70004	Sitz des Magistrats von Tria
70101	Sonnenfestival - (Baum der Weisheit)
70102	Strandparty - Strand der Drachenschildkröten
70103	Farmerfestival (Festplatz)
70104	Teichfeier (Tuwangigarnison)
71001	Bastion
71002	Pegasusplattform der Bastion
72001	Allemantheia
72002	Umland von Allemantheia
72003	Westliches Allemantheia
72004	Säule der Äonen
72005	Magieakademie
72006	Symposium der Ältesten
72007	Agora
72008	Kreativwerkstatt
72009	Kriegernoviziat
72010	Strategisches Kommando
72011	Sharas Gebot
72012	Tore der Ehre
72013	Allemantheia-Konsulat
72099	Allemantheia-Hauptquartier
72100	Via Westonia
72101	Via Essenia
72102	Via Palrada
72103	Pegasusplattform von Allemantheia
72112	Symposium der Ältesten
72113	Mysterium
72114	Einheitsfeldlabor
73001	Acarum
73002	Pegasusplattform von Acarum
74001	Elenea
74002	Pegasusplattform von Elenea
75001	Frontera
75002	Pegasusplattform von Frontera
75003	Eingang zu Kezzels Rachen
76001	Kanstria
76002	Flugplattform von {@Rgn:76001}
76090	Kanstriaflügelstein
76901	Eingang zur Lilitasfestung, Lachelitas-Ruine
77001	Pfadfinderposten
77002	Flugplattform des Pfadfinderpostens
78001	Zulfikarfestung
78002	Flugplattform der {@Rgn:78001}
79001	Habere
79002	Flugplattform von Habere
80001	Drachenfall
80002	Flugplattform von Drachenfall
81001	Scythera Fae
81002	Flugplattform von Scythera Fae
83001	Ödfels
83002	Pegasusplattform von Ödfels
84001	Kaiator
84002	Umland von Kaiator
84003	Westtor von Kaiator
84004	Kaias Schildbrücke
84005	Anicetusbrücke
84006	Siegesbrücke
84007	Triumphplatz
84008	Kammer der Tapferkeit
84009	Kreativwerkstatt
84010	Hauptstraße
84011	Agora
84012	Handelszentrum
84013	Flugplattform von Kaiator
84014	Schmiedeherz
84015	Festungseingang
84016	Magieakademie
84017	Kaiator-Hauptquartier
84018	Kriegernoviziat
84019	Handelszentrum
84020	Nördlicher Zugang nach Kaiator
84021	Westtor von Kaiator
84022	Nordtor von Kaiator
84023	Südtor von Kaiator
84024	Kaiator-Konsulat
84025	Nördliche Straße des Triumphplatzes
84026	Transporthalle
84027	Kaiator
84101	Kapinalager
85001	Davarns Zuflucht
86001	Östliches Allemantheia
87001	Äscherne Hoffnung
87002	Heimattrauer
87003	Verlorene Wälder
87004	Orkanerfeste
87005	Zerstörtes Elinu
87006	Tränenfall
90000	1–11
90001	10–25
90002	23–36
90003	27–38
90004	30–51
90005	38–43
90006	40–45
90007	44–46
90008	50–59
90009	53–58
90010	56–60
90011	33-57
90012	64-65
90013	63-64
90014	59–60
90015	60-65
90016	65
97201	Eingang zum Antaros-Abgrund
99000	Tiarania<br>1-11
99001	Westliches Holzfällerlager<br>10-15
99002	Wälder der Vergessenheit<br>11-20
99003	Tal der Titanen<br>16-20
99004	Tuwangimorast<br>19-23
99005	Himmelshügel<br>21-25 (68)
99006	Klippen des Wahnsinns<br>23-25
99007	Reißertal<br>24-29
99008	Paraanonschlucht<br>24-29
99009	Basiliskenhang<br>27-30
99010	Freilande<br>28-31
99011	Nebelmoorinsel<br>30-33
99012	<br>31–32
99013	Zerklüftete Küste<br>32-33
99014	See der Tränen<br>33-36
99015	Kolossale Ruinen<br>35-38
99016	Aurumpfad<br>35-38
99017	Schandholz<br>38-41
99018	Heiliges Becken<br>38-41 (65)
99019	Zeitlose Wälder<br>38-42 (65)
99020	Essenischer Kamm<br>38-43 (66)
99021	Berg Tyrannas<br>40-45
99022	Sturmebene<br>41-43
99023	Frostweiten<br>41-45
99024	Quarantänezone<br>44-46
99025	Wildes Tal<br>45-46
99026	47-51<br><br>Geschwungenes Tal<br><br>31-32
99027	Schlangeninsel<br>47-51
99028	Fyrkuppe<br>47-51
99029	Finsterwald<br>50-53
99030	Susurrus Hain<br>50-53
99031	Amena Quatla<br>50-54
99032	Siennaschlucht<br>53-56 (67, 69)
99033	Tor Exsul<br>53-57
99034	Würmlingsklamm<br>53-58
99035	Feendickicht<br>56-59
